distance,duration,count
6.7555000000000005,497.59475,1.0
6.7555000000000005,533.56425,2.0
6.7555000000000005,545.5540833333333,1.0
6.7555000000000005,569.5337499999999,1.0
6.7555000000000005,581.5235833333334,1.0
6.7555000000000005,593.5134166666667,1.0
6.7555000000000005,605.50325,2.0
6.7555000000000005,617.4930833333333,2.0
6.7555000000000005,629.4829166666666,1.0
6.7555000000000005,653.4625833333333,2.0
6.7555000000000005,665.4524166666666,1.0
6.7555000000000005,689.4320833333334,1.0
6.7555000000000005,713.41175,2.0
6.7555000000000005,725.4015833333333,2.0
6.7555000000000005,737.3914166666666,2.0
6.7555000000000005,773.3609166666666,1.0
6.7555000000000005,797.3405833333334,1.0
6.7555000000000005,809.3304166666667,2.0
6.7555000000000005,857.28975,1.0
6.7555000000000005,869.2795833333333,1.0
6.7555000000000005,929.22875,1.0
6.7555000000000005,941.2185833333333,1.0
6.7555000000000005,953.2084166666666,1.0
6.7555000000000005,977.1880833333333,1.0
6.7555000000000005,1061.1169166666668,1.0
6.7555000000000005,1073.10675,1.0
6.7555000000000005,1133.0559166666667,1.0
6.7555000000000005,1193.0050833333335,1.0
8.2545,18.001416666666664,145.0
8.2545,29.991249999999997,64080.0
8.2545,41.98108333333333,715485.0
8.2545,53.97091666666667,265351.0
8.2545,65.96074999999999,46970.0
8.2545,77.95058333333333,10231.0
8.2545,89.94041666666666,5268.0
8.2545,101.93025,2519.0
8.2545,113.92008333333334,1156.0
8.2545,125.90991666666667,630.0
8.2545,137.89975,355.0
8.2545,149.88958333333335,269.0
8.2545,161.87941666666666,186.0
8.2545,173.86925000000002,122.0
8.2545,185.85908333333333,103.0
8.2545,197.8489166666667,76.0
8.2545,209.83875,78.0
8.2545,221.82858333333337,38.0
8.2545,233.81841666666668,22.0
8.2545,245.80825000000002,22.0
8.2545,257.79808333333335,12.0
8.2545,269.78791666666666,9.0
8.2545,281.77774999999997,15.0
8.2545,293.7675833333333,9.0
8.2545,305.75741666666664,8.0
8.2545,317.74725,6.0
8.2545,329.7370833333333,11.0
8.2545,341.7269166666666,1.0
8.2545,353.71675,7.0
8.2545,365.70658333333336,2.0
8.2545,377.69641666666666,3.0
8.2545,389.68625,6.0
8.2545,401.6760833333333,2.0
8.2545,425.65575,4.0
8.2545,437.6455833333333,3.0
8.2545,449.63541666666663,1.0
8.2545,461.62525,2.0
8.2545,485.60491666666667,3.0
8.2545,497.59475,2.0
8.2545,509.5845833333333,1.0
8.2545,521.5744166666666,1.0
8.2545,557.5439166666666,1.0
8.2545,569.5337499999999,1.0
8.2545,581.5235833333334,2.0
8.2545,605.50325,1.0
8.2545,617.4930833333333,1.0
8.2545,641.47275,2.0
8.2545,653.4625833333333,1.0
8.2545,665.4524166666666,3.0
8.2545,677.44225,2.0
8.2545,689.4320833333334,1.0
8.2545,737.3914166666666,1.0
8.2545,773.3609166666666,1.0
8.2545,809.3304166666667,1.0
8.2545,845.2999166666666,2.0
8.2545,857.28975,1.0
8.2545,941.2185833333333,1.0
8.2545,1025.1474166666667,1.0
8.2545,1073.10675,1.0
8.2545,1157.0355833333333,1.0
9.753499999999999,18.001416666666664,81.0
9.753499999999999,29.991249999999997,2821.0
9.753499999999999,41.98108333333333,360954.0
9.753499999999999,53.97091666666667,734439.0
9.753499999999999,65.96074999999999,206222.0
9.753499999999999,77.95058333333333,33489.0
9.753499999999999,89.94041666666666,9762.0
9.753499999999999,101.93025,4385.0
9.753499999999999,113.92008333333334,2331.0
9.753499999999999,125.90991666666667,1291.0
9.753499999999999,137.89975,695.0
9.753499999999999,149.88958333333335,410.0
9.753499999999999,161.87941666666666,293.0
9.753499999999999,173.86925000000002,198.0
9.753499999999999,185.85908333333333,139.0
9.753499999999999,197.8489166666667,103.0
9.753499999999999,209.83875,79.0
9.753499999999999,221.82858333333337,70.0
9.753499999999999,233.81841666666668,73.0
9.753499999999999,245.80825000000002,39.0
9.753499999999999,257.79808333333335,28.0
9.753499999999999,269.78791666666666,27.0
9.753499999999999,281.77774999999997,20.0
9.753499999999999,293.7675833333333,11.0
9.753499999999999,305.75741666666664,14.0
9.753499999999999,317.74725,11.0
9.753499999999999,329.7370833333333,9.0
9.753499999999999,341.7269166666666,7.0
9.753499999999999,353.71675,6.0
9.753499999999999,365.70658333333336,10.0
9.753499999999999,377.69641666666666,5.0
9.753499999999999,389.68625,7.0
9.753499999999999,401.6760833333333,2.0
9.753499999999999,413.66591666666665,1.0
9.753499999999999,425.65575,3.0
9.753499999999999,437.6455833333333,7.0
9.753499999999999,449.63541666666663,3.0
9.753499999999999,461.62525,4.0
9.753499999999999,473.61508333333336,2.0
9.753499999999999,485.60491666666667,2.0
9.753499999999999,497.59475,1.0
9.753499999999999,533.56425,1.0
9.753499999999999,557.5439166666666,3.0
9.753499999999999,569.5337499999999,2.0
9.753499999999999,581.5235833333334,2.0
9.753499999999999,593.5134166666667,2.0
9.753499999999999,629.4829166666666,1.0
9.753499999999999,641.47275,2.0
9.753499999999999,677.44225,1.0
9.753499999999999,725.4015833333333,1.0
9.753499999999999,749.38125,3.0
9.753499999999999,773.3609166666666,1.0
9.753499999999999,833.3100833333333,2.0
9.753499999999999,869.2795833333333,1.0
9.753499999999999,917.2389166666667,1.0
9.753499999999999,929.22875,1.0
9.753499999999999,1109.07625,1.0
9.753499999999999,1133.0559166666667,1.0
11.252500000000001,18.001416666666664,27.0
11.252500000000001,29.991249999999997,305.0
11.252500000000001,41.98108333333333,38666.0
11.252500000000001,53.97091666666667,400373.0
11.252500000000001,65.96074999999999,299149.0
11.252500000000001,77.95058333333333,57260.0
11.252500000000001,89.94041666666666,15080.0
11.252500000000001,101.93025,5441.0
11.252500000000001,113.92008333333334,2791.0
11.252500000000001,125.90991666666667,1855.0
11.252500000000001,137.89975,1033.0
11.252500000000001,149.88958333333335,629.0
11.252500000000001,161.87941666666666,385.0
11.252500000000001,173.86925000000002,268.0
11.252500000000001,185.85908333333333,182.0
11.252500000000001,197.8489166666667,127.0
11.252500000000001,209.83875,113.0
11.252500000000001,221.82858333333337,79.0
11.252500000000001,233.81841666666668,70.0
11.252500000000001,245.80825000000002,77.0
11.252500000000001,257.79808333333335,59.0
11.252500000000001,269.78791666666666,34.0
11.252500000000001,281.77774999999997,29.0
11.252500000000001,293.7675833333333,29.0
11.252500000000001,305.75741666666664,26.0
11.252500000000001,317.74725,22.0
11.252500000000001,329.7370833333333,17.0
11.252500000000001,341.7269166666666,15.0
11.252500000000001,353.71675,6.0
11.252500000000001,365.70658333333336,4.0
11.252500000000001,377.69641666666666,7.0
11.252500000000001,389.68625,5.0
11.252500000000001,401.6760833333333,4.0
11.252500000000001,413.66591666666665,4.0
11.252500000000001,425.65575,7.0
11.252500000000001,437.6455833333333,2.0
11.252500000000001,449.63541666666663,2.0
11.252500000000001,461.62525,3.0
11.252500000000001,473.61508333333336,3.0
11.252500000000001,485.60491666666667,2.0
11.252500000000001,509.5845833333333,1.0
11.252500000000001,533.56425,2.0
11.252500000000001,581.5235833333334,2.0
11.252500000000001,593.5134166666667,1.0
11.252500000000001,629.4829166666666,1.0
11.252500000000001,641.47275,1.0
11.252500000000001,665.4524166666666,1.0
11.252500000000001,701.4219166666667,1.0
11.252500000000001,725.4015833333333,1.0
11.252500000000001,737.3914166666666,1.0
11.252500000000001,749.38125,1.0
11.252500000000001,773.3609166666666,1.0
11.252500000000001,785.35075,1.0
11.252500000000001,845.2999166666666,1.0
11.252500000000001,893.25925,2.0
11.252500000000001,917.2389166666667,2.0
11.252500000000001,941.2185833333333,2.0
11.252500000000001,1001.16775,1.0
11.252500000000001,1013.1575833333334,1.0
11.252500000000001,1037.13725,1.0
11.252500000000001,1049.1270833333333,1.0
11.252500000000001,1121.0660833333332,1.0
12.7515,18.001416666666664,9.0
12.7515,29.991249999999997,141.0
12.7515,41.98108333333333,2750.0
12.7515,53.97091666666667,178569.0
12.7515,65.96074999999999,398782.0
12.7515,77.95058333333333,133430.0
12.7515,89.94041666666666,33378.0
12.7515,101.93025,10142.0
