country,year_week,total_runners,distance,duration
Kazakhstan,2019-52,8,10.376333333333333,66.34555555555555
Jordan,2019-52,3,13.352857142857143,75.1595238095238
Uruguay,2019-52,4,13.9055625,61.01354166666667
Gibraltar,2019-52,2,10.523333333333333,53.230555555555554
Taiwan,2019-52,216,12.772299052774018,71.79799278304014
New Zealand,2019-52,36,11.208965811965813,65.31282051282052
Chile,2019-52,90,11.256821678321678,61.666841491841495
Israel,2019-52,39,12.634864661654134,68.1296992481203
Switzerland,2019-52,218,11.206156146179401,61.99191583610188
Romania,2019-52,17,12.703260869565218,70.72608695652174
Peru,2019-52,37,12.096638888888888,68.66666666666667
Iceland,2019-52,55,11.319423611111112,67.45787037037036
Colombia,2019-52,92,10.348651515151515,59.437689393939394
Latvia,2019-52,9,12.0343,66.92444444444445
India,2019-52,87,14.217967272727272,86.70290909090909
Argentina,2019-52,52,11.6691,60.79574074074074
Turkey,2019-52,36,11.315943548387096,63.14368279569892
Philippines,2019-52,37,10.694255319148937,67.37836879432624
Guatemala,2019-52,37,12.456333333333333,70.09340277777777
Italy,2019-52,416,12.16620876494024,65.2707171314741
Portugal,2019-52,65,10.727250000000002,55.943160377358495
Paraguay,2019-52,5,5.601818181818182,35.39545454545455
Monaco,2019-52,2,13.844999999999999,73.81388888888888
China,2019-52,253,12.925115527950311,78.9660248447205
Australia,2019-52,437,11.805559678416822,63.64978354978355
Moldova,2019-52,5,13.487058823529411,74.44019607843137
Bulgaria,2019-52,5,8.2925,50.864583333333336
Kuwait,2019-52,1,5.875,38.50833333333333
Kosovo,2019-52,2,9.269666666666668,49.48888888888889
Belgium,2019-52,156,11.957640552995391,64.30407066052227
Costa Rica,2019-52,103,10.918629032258066,61.1358064516129
Greece,2019-52,23,11.714929577464789,68.12981220657277
Poland,2019-52,117,12.362213270142181,66.03210900473934
Hungary,2019-52,36,13.50097520661157,74.83415977961432
Azerbaijan,2019-52,2,9.615714285714287,64.27380952380953
Cayman Islands,2019-52,6,9.92909090909091,49.86363636363637
Guernsey,2019-52,9,12.370542857142857,72.34619047619049
Bahrain,2019-52,3,12.082727272727272,71.36515151515151
Lebanon,2019-52,1,12.077142857142857,63.10476190476191
United States,2019-52,9884,11.232885561588056,60.49851968103155
Dominican Republic,2019-52,35,9.344932584269662,63.417602996254686
Faroe Islands,2019-52,6,10.482222222222223,55.971296296296295
Malta,2019-52,2,9.992714285714285,53.19047619047619
Iran,2019-52,1,7.5845,42.125
Ukraine,2019-52,69,12.149726872246696,66.06431718061674
Netherlands,2019-52,629,11.518659327925839,62.44927578215527
Senegal,2019-52,1,15.014999999999999,65.95833333333333
Luxembourg,2019-52,23,12.172068965517242,66.33850574712643
South Africa,2019-52,112,10.212102150537634,60.409543010752685
Brazil,2019-52,468,10.602058911260254,60.27551578424061
Fiji,2019-52,1,6.126666666666666,42.838888888888896
Thailand,2019-52,209,10.692384742951907,70.85152017689332
Morocco,2019-52,1,12.666666666666666,63.333333333333336
Denmark,2019-52,224,12.660350274725275,65.27898351648352
Slovenia,2019-52,19,12.433072727272727,79.38454545454545
Namibia,2019-52,1,4.019,24.316666666666663
Serbia,2019-52,12,9.37636111111111,51.82222222222222
